text,translation,language,category,label
السلام علیکم,Peace be upon you,urdu,greeting,0
وعلیکم السلام,And peace be upon you,urdu,greeting,0
صبح بخیر,Good morning,urdu,greeting,0
شام بخیر,Good evening,urdu,greeting,0
رات بخیر,Good night,urdu,greeting,0
خوش آمدید,Welcome,urdu,greeting,0
خدا حافظ,Goodbye (God protect you),urdu,greeting,0
الوداع,Farewell,urdu,greeting,0
پھر ملیں گے,See you again,urdu,greeting,0
اللہ حافظ,May God protect you,urdu,greeting,0
آداب,Greetings (respectful),urdu,greeting,0
سلام,Hello/Greetings,urdu,greeting,0
شکریہ,Thank you,urdu,polite,0
بہت شکریہ,Thank you very much,urdu,polite,0
آپ کا بہت بہت شکریہ,Thank you so much,urdu,polite,0
نوازش,Thank you (formal),urdu,polite,0
معاف کیجیے,Excuse me/Sorry (formal),urdu,polite,0
معاف کریں,Forgive me,urdu,polite,0
معذرت,Apology,urdu,polite,0
مہربانی,Please/Kindness,urdu,polite,0
براہ مہربانی,Please,urdu,polite,0
براہ کرم,Please (formal),urdu,polite,0
کوئی بات نہیں,No problem/You're welcome,urdu,polite,0
خوش آمدید,You're welcome,urdu,polite,0
جی ہاں,Yes (respectful),urdu,polite,0
جی نہیں,No (respectful),urdu,polite,0
جی,Yes sir/madam,urdu,polite,0
آپ کا استقبال ہے,You are welcome,urdu,polite,0
تشریف رکھیے,Please sit,urdu,polite,0
تشریف لائیے,Please come,urdu,polite,0
ہاں,Yes,urdu,response,0
نہیں,No,urdu,response,0
ٹھیک ہے,Okay/Alright,urdu,response,0
بالکل,Absolutely,urdu,response,0
بلکل ٹھیک,Absolutely right,urdu,response,0
بالکل صحیح,Absolutely correct,urdu,response,0
شاید,Maybe/Perhaps,urdu,response,0
یقیناً,Certainly,urdu,response,0
ضرور,Of course,urdu,response,0
بے شک,Without doubt,urdu,response,0
لازماً,Definitely,urdu,response,0
یقینی طور پر,For sure,urdu,response,0
بہت اچھا,Very good,urdu,response,0
بہت خوب,Excellent,urdu,response,0
شاباش,Well done,urdu,response,0
واہ واہ,Bravo/Wow,urdu,response,0
سبحان اللہ,Glory to God,urdu,response,0
ماشاء اللہ,As God wills,urdu,response,0
الحمد للہ,Praise be to God,urdu,response,0
انشاء اللہ,If God wills,urdu,response,0
آپ کیسے ہیں؟,How are you?,urdu,question,0
آپ کا حال کیا ہے؟,What is your condition?,urdu,question,0
کیا حال ہے؟,How are things?,urdu,question,0
آپ کا نام کیا ہے؟,What is your name?,urdu,question,0
آپ کیا کہلاتے ہیں؟,What are you called?,urdu,question,0
آپ کہاں سے ہیں؟,Where are you from?,urdu,question,0
آپ کہاں رہتے ہیں؟,Where do you live?,urdu,question,0
یہ کیا ہے؟,What is this?,urdu,question,0
وہ کیا ہے؟,What is that?,urdu,question,0
کیوں؟,Why?,urdu,question,0
کب؟,When?,urdu,question,0
کہاں؟,Where?,urdu,question,0
کیسے؟,How?,urdu,question,0
کون؟,Who?,urdu,question,0
کس نے؟,Who did?,urdu,question,0
کتنا؟,How much?,urdu,question,0
کتنے؟,How many?,urdu,question,0
کس طرح؟,In what way?,urdu,question,0
کیا؟,What?,urdu,question,0
کیا بات ہے؟,What's the matter?,urdu,question,0
والد,Father,urdu,family,0
والدہ,Mother,urdu,family,0
ابا,Dad,urdu,family,0
امی,Mom,urdu,family,0
ماں,Mother,urdu,family,0
باپ,Father,urdu,family,0
بھائی,Brother,urdu,family,0
بہن,Sister,urdu,family,0
بڑا بھائی,Elder brother,urdu,family,0
چھوٹا بھائی,Younger brother,urdu,family,0
بڑی بہن,Elder sister,urdu,family,0
چھوٹی بہن,Younger sister,urdu,family,0
بیٹا,Son,urdu,family,0
بیٹی,Daughter,urdu,family,0
بیٹے,Sons,urdu,family,0
بیٹیاں,Daughters,urdu,family,0
بچے,Children,urdu,family,0
بچہ,Child,urdu,family,0
دادا,Grandfather (paternal),urdu,family,0
دادی,Grandmother (paternal),urdu,family,0
نانا,Grandfather (maternal),urdu,family,0
نانی,Grandmother (maternal),urdu,family,0
پوتا,Grandson (son's son),urdu,family,0
پوتی,Granddaughter (son's daughter),urdu,family,0
نواسا,Grandson (daughter's son),urdu,family,0
نواسی,Granddaughter (daughter's daughter),urdu,family,0
چچا,Uncle (father's brother),urdu,family,0
چچی,Aunt (father's brother's wife),urdu,family,0
پھوپھا,Uncle (father's sister's husband),urdu,family,0
