text,translation,language,category,label
السلام علیکم,Hello/Peace be upon you,urdu,greeting,0
وعلیکم السلام,And peace be upon you too,urdu,greeting,0
صبح بخیر,Good morning,urdu,greeting,0
شام بخیر,Good evening,urdu,greeting,0
رات بخیر,Good night,urdu,greeting,0
خوش آمدید,Welcome,urdu,greeting,0
الوداع,Goodbye,urdu,greeting,0
پھر ملیں گے,See you later,urdu,greeting,0
شکریہ,Thank you,urdu,polite,0
بہت شکریہ,Thank you very much,urdu,polite,0
آپ کا بہت بہت شکریہ,Thank you so much,urdu,polite,0
معاف کیجیے,Excuse me/Sorry,urdu,polite,0
مہربانی,Please/Kindness,urdu,polite,0
براہ مہربانی,Please,urdu,polite,0
کوئی بات نہیں,No problem/You're welcome,urdu,polite,0
معاف کریں,Forgive me,urdu,polite,0
ہاں,Yes,urdu,response,0
نہیں,No,urdu,response,0
ٹھیک ہے,Okay/Alright,urdu,response,0
بالکل,Absolutely,urdu,response,0
شاید,Maybe/Perhaps,urdu,response,0
یقیناً,Certainly,urdu,response,0
ضرور,Of course,urdu,response,0
بلکل ٹھیک,Absolutely right,urdu,response,0
آپ کیسے ہیں؟,How are you?,urdu,question,0
آپ کا نام کیا ہے؟,What is your name?,urdu,question,0
آپ کہاں سے ہیں؟,Where are you from?,urdu,question,0
یہ کیا ہے؟,What is this?,urdu,question,0
کیوں؟,Why?,urdu,question,0
کب؟,When?,urdu,question,0
کہاں؟,Where?,urdu,question,0
کیسے؟,How?,urdu,question,0
کون؟,Who?,urdu,question,0
کتنا؟,How much?,urdu,question,0
والد,Father,urdu,family,0
والدہ,Mother,urdu,family,0
بھائی,Brother,urdu,family,0
بہن,Sister,urdu,family,0
دادا,Grandfather (paternal),urdu,family,0
دادی,Grandmother (paternal),urdu,family,0
نانا,Grandfather (maternal),urdu,family,0
نانی,Grandmother (maternal),urdu,family,0
بیٹا,Son,urdu,family,0
بیٹی,Daughter,urdu,family,0
خاندان,Family,urdu,family,0
رشتہ دار,Relative,urdu,family,0
کھانا,Food,urdu,food,0
پانی,Water,urdu,food,0
دودھ,Milk,urdu,food,0
چائے,Tea,urdu,food,0
کافی,Coffee,urdu,food,0
روٹی,Bread,urdu,food,0
چاول,Rice,urdu,food,0
گوشت,Meat,urdu,food,0
مچھلی,Fish,urdu,food,0
سبزی,Vegetable,urdu,food,0
پھل,Fruit,urdu,food,0
ناشتہ,Breakfast,urdu,food,0
دوپہر کا کھانا,Lunch,urdu,food,0
رات کا کھانا,Dinner,urdu,food,0
ایک,One,urdu,number,0
دو,Two,urdu,number,0
تین,Three,urdu,number,0
چار,Four,urdu,number,0
پانچ,Five,urdu,number,0
چھ,Six,urdu,number,0
سات,Seven,urdu,number,0
آٹھ,Eight,urdu,number,0
نو,Nine,urdu,number,0
دس,Ten,urdu,number,0
بیس,Twenty,urdu,number,0
سو,Hundred,urdu,number,0
ہزار,Thousand,urdu,number,0
رنگ,Color,urdu,color,0
سفید,White,urdu,color,0
کالا,Black,urdu,color,0
لال,Red,urdu,color,0
نیلا,Blue,urdu,color,0
سبز,Green,urdu,color,0
پیلا,Yellow,urdu,color,0
نارنجی,Orange,urdu,color,0
جامنی,Purple,urdu,color,0
گلابی,Pink,urdu,color,0
بھورا,Brown,urdu,color,0
وقت,Time,urdu,time,0
دن,Day,urdu,time,0
رات,Night,urdu,time,0
صبح,Morning,urdu,time,0
دوپہر,Afternoon,urdu,time,0
شام,Evening,urdu,time,0
آج,Today,urdu,time,0
کل,Yesterday/Tomorrow,urdu,time,0
پرسوں,Day before/after tomorrow,urdu,time,0
ہفتہ,Week,urdu,time,0
مہینہ,Month,urdu,time,0
سال,Year,urdu,time,0
گھر,Home/House,urdu,place,0
اسکول,School,urdu,place,0
دفتر,Office,urdu,place,0
دکان,Shop,urdu,place,0
بازار,Market,urdu,place,0
اسپتال,Hospital,urdu,place,0
ریستوراں,Restaurant,urdu,place,0
ہوٹل,Hotel,urdu,place,0
مسجد,Mosque,urdu,place,0
پارک,Park,urdu,place,0
شہر,City,urdu,place,0
ملک,Country,urdu,place,0
جانا,To go,urdu,verb,0
آنا,To come,urdu,verb,0
کھانا,To eat,urdu,verb,0
پینا,To drink,urdu,verb,0
سونا,To sleep,urdu,verb,0
پڑھنا,To read/study,urdu,verb,0
لکھنا,To write,urdu,verb,0
بولنا,To speak,urdu,verb,0
سننا,To hear,urdu,verb,0
دیکھنا,To see/watch,urdu,verb,0
سمجھنا,To understand,urdu,verb,0
کرنا,To do,urdu,verb,0
دینا,To give,urdu,verb,0
لینا,To take,urdu,verb,0
اچھا,Good,urdu,adjective,0
برا,Bad,urdu,adjective,0
بڑا,Big/Large,urdu,adjective,0
چھوٹا,Small,urdu,adjective,0
نیا,New,urdu,adjective,0
پرانا,Old,urdu,adjective,0
خوبصورت,Beautiful,urdu,adjective,0
بدصورت,Ugly,urdu,adjective,0
تیز,Fast,urdu,adjective,0
سست,Slow,urdu,adjective,0
گرم,Hot,urdu,adjective,0
ٹھنڈا,Cold,urdu,adjective,0
خوش,Happy,urdu,emotion,0
غمگین,Sad,urdu,emotion,0
خوشی,Happiness,urdu,emotion,0
غم,Sorrow,urdu,emotion,0
پیار,Love,urdu,emotion,0
نفرت,Hate,urdu,emotion,0
خوف,Fear,urdu,emotion,0
غصہ,Anger,urdu,emotion,0
امید,Hope,urdu,emotion,0
مایوسی,Disappointment,urdu,emotion,0
سر,Head,urdu,body,0
آنکھ,Eye,urdu,body,0
کان,Ear,urdu,body,0
ناک,Nose,urdu,body,0
منہ,Mouth,urdu,body,0
ہاتھ,Hand,urdu,body,0
پاؤں,Foot,urdu,body,0
دل,Heart,urdu,body,0
پیٹ,Stomach,urdu,body,0
انگلی,Finger,urdu,body,0
تعلیم,Education,urdu,education,0
استاد,Teacher,urdu,education,0
طالب علم,Student,urdu,education,0
کتاب,Book,urdu,education,0
قلم,Pen,urdu,education,0
کاپی,Notebook,urdu,education,0
امتحان,Exam,urdu,education,0
سبق,Lesson,urdu,education,0
کلاس,Class,urdu,education,0
ہوم ورک,Homework,urdu,education,0
السلام علیکم,Hello,punjabi,greeting,1
ست سری اکال,Hello (Sikh greeting),punjabi,greeting,1
کی حال اے؟,How are you?,punjabi,greeting,1
شکریہ,Thank you,punjabi,polite,1
معاف کرنا,Sorry/Excuse me,punjabi,polite,1
مہربانی,Please,punjabi,polite,1
الوداع,Goodbye,punjabi,greeting,1
خدا حافظ,Goodbye,punjabi,greeting,1
ہاں,Yes,punjabi,response,1
نئیں,No,punjabi,response,1
ٹھیک اے,It's okay,punjabi,response,1
